Wave long;Wave short
3106.84375;2917.77470942125
3106.00195;2915.28236178459
3105.16016;2912.79001414794
3104.31836;2910.29766651128
3103.47656;2907.80531887462
3102.63477;2905.31297123797
3101.79199;2902.82062360131
3100.9502;2900.32827596466
3100.10742;2897.835928328
3099.26465;2895.34358069135
3098.42188;2892.85123305469
3097.5791;2890.35888541803
3096.73633;2887.86653778138
3095.89258;2885.37419014472
3095.04981;2882.88184250807
3094.20606;2880.38949487141
3093.36231;2877.89714723476
3092.51856;2875.4047995981
3091.67481;2872.91245196144
3090.83106;2870.42010432479
3089.98633;2867.92775668813
3089.14258;2865.43540905148
3088.29785;2862.94306141482
3087.45313;2860.45071377817
3086.6084;2857.95836614151
3085.76367;2855.46601850485
3084.91895;2852.9736708682
3084.07324;2850.48132323154
3083.22852;2847.98897559489
3082.38281;2845.49662795823
3081.53711;2843.00428032158
3080.69141;2840.51193268492
3079.8457;2838.01958504826
3079;2835.52723741161
3078.1543;2833.03488977495
3077.30762;2830.5425421383
3076.46094;2828.05019450164
3075.61523;2825.55784686499
3074.76856;2823.06549922833
3073.92188;2820.57315159167
3073.07422;2818.08080395502
3072.22754;2815.58845631836
3071.38086;2813.09610868171
3070.5332;2810.60376104505
3069.68555;2808.1114134084
3068.83789;2805.61906577174
3067.99023;2803.12671813508
3067.14258;2800.63437049843
3066.29492;2798.14202286177
3065.44629;2795.64967522512
3064.59863;2793.15732758846
3063.75;2790.66497995181
3062.90137;2788.17263231515
3062.05273;2785.68028467849
3061.2041;2783.18793704184
3060.35547;2780.69558940518
3059.50586;2778.20324176853
3058.65625;2775.71089413187
3057.80762;2773.21854649522
3056.95801;2770.72619885856
3056.1084;2768.2338512219
3055.25879;2765.74150358525
3054.4082;2763.24915594859
3053.55859;2760.75680831194
3052.70801;2758.26446067528
3051.8584;2755.77211303863
3051.00781;2753.27976540197
3050.15723;2750.78741776531
3049.30664;2748.29507012866
3048.45508;2745.802722492
3047.60449;2743.31037485535
3046.75391;2740.81802721869
3045.90234;2738.32567958204
3045.05078;2735.83333194538
3044.19922;2733.34098430872
3043.34766;2730.84863667207
3042.49609;2728.35628903541
3041.64356;2725.86394139876
3040.79199;2723.3715937621
3039.93945;2720.87924612545
3039.08691;2718.38689848879
3038.23438;2715.89455085213
3037.38184;2713.40220321548
3036.5293;2710.90985557882
3035.67676;2708.41750794217
3034.82324;2705.92516030551
3033.96973;2703.43281266886
3033.11719;2700.9404650322
3032.26367;2698.44811739554
3031.41016;2695.95576975889
3030.55566;2693.46342212223
3029.70215;2690.97107448558
3028.84766;2688.47872684892
3027.99414;2685.98637921227
3027.13965;2683.49403157561
